X,Y,Z,R,G,B
-835.998108, 9484.927734, 9.679639, 179.0, 55.0, 255.0
-849.81842, 9454.357422, 9.287061, 179.0, 55.0, 255.0
-852.740295, 9436.771484, 0.597607, 179.0, 55.0, 255.0
-857.34967, 9430.849609, 22.20039, 179.0, 55.0, 255.0
-854.521545, 9449.201172, 30.422802, 179.0, 55.0, 255.0
-840.16217, 9469.013672, 34.62788, 179.0, 55.0, 255.0
-844.771545, 9466.474609, 20.070507, 179.0, 55.0, 255.0
-847.263733, 9466.083984, -17.858448, 179.0, 55.0, 255.0
-822.904358, 9506.966797, -6.179492, 179.0, 55.0, 255.0
-839.919983, 9471.708984, -2.84624, 179.0, 55.0, 255.0
-830.990295, 9502.818359, 14.457471, 179.0, 55.0, 255.0
-843.66217, 9489.841797, 38.644726, 179.0, 55.0, 255.0
-831.794983, 9496.857422, -18.238575, 179.0, 55.0, 255.0
-827.490295, 9520.748047, 25.248241, 179.0, 55.0, 255.0
-873.779358, 9549.060547, 39.420849, 179.0, 55.0, 255.0
-812.873108, 9523.396484, 20.300732, 179.0, 55.0, 255.0
-833.16217, 9516.841797, 46.35664, 179.0, 55.0, 255.0
-823.896545, 9537.990234, 34.338818, 179.0, 55.0, 255.0
-842.41217, 9576.318359, 39.906933, 179.0, 55.0, 255.0
