X,Y,Z,R,G,B
-1828.052856, 10941.005859, 107.711136, 182.0, 255.0, 161.0
-1826.310669, 10917.029297, 96.632278, 182.0, 255.0, 161.0
-1793.130981, 10912.263672, 104.712845, 182.0, 255.0, 161.0
-1862.193481, 10979.841797, 116.826859, 182.0, 255.0, 161.0
-1860.623169, 10975.607422, 115.732132, 182.0, 255.0, 161.0
-1819.873169, 10963.466797, 132.66011, 182.0, 255.0, 161.0
-1851.560669, 11023.458984, 138.3564, 182.0, 255.0, 161.0
-1882.060669, 10977.615234, 90.597122, 182.0, 255.0, 161.0
-1886.005981, 10982.638672, 86.787308, 182.0, 255.0, 161.0
-1883.716919, 11002.404297, 124.903519, 182.0, 255.0, 161.0
-1911.912231, 11039.388672, 129.338577, 182.0, 255.0, 161.0
-1935.451294, 11068.810547, 148.560745, 182.0, 255.0, 161.0
-1909.232544, 11065.357422, 144.801468, 182.0, 255.0, 161.0
-1938.091919, 11087.044922, 172.403275, 182.0, 255.0, 161.0
-1896.130981, 11147.458984, 169.90889, 182.0, 255.0, 161.0
-1924.209106, 11144.873047, 160.810745, 182.0, 255.0, 161.0
-1870.451294, 11155.419922, 153.009964, 182.0, 255.0, 161.0
-1904.263794, 11162.138672, 147.657669, 182.0, 255.0, 161.0
-1872.927856, 11223.138672, 121.344925, 182.0, 255.0, 161.0
-1845.263794, 11169.982422, 125.18721, 182.0, 255.0, 161.0
-1866.170044, 11133.107422, 138.060989, 182.0, 255.0, 161.0
-1866.084106, 11165.326172, 111.325882, 182.0, 255.0, 161.0
-1713.451294, 11215.865234, 2.62666, 182.0, 255.0, 161.0
-1689.334106, 11232.724609, 45.320263, 182.0, 255.0, 161.0
-1701.216919, 11197.826172, 68.01387, 182.0, 255.0, 161.0
-1679.318481, 11192.982422, 97.263138, 182.0, 255.0, 161.0
-1668.826294, 11219.623047, 76.224075, 182.0, 255.0, 161.0
-1679.318481, 11192.982422, 97.263138, 182.0, 255.0, 161.0
-1697.216919, 11197.521484, 71.990433, 182.0, 255.0, 161.0
-1685.326294, 11192.162109, 94.825394, 182.0, 255.0, 161.0
-1679.318481, 11192.982422, 97.263138, 182.0, 255.0, 161.0
-1689.795044, 11195.451172, 90.158401, 182.0, 255.0, 161.0
-1704.388794, 11195.357422, 126.794876, 182.0, 255.0, 161.0
-1699.154419, 11174.662109, 115.93721, 182.0, 255.0, 161.0
-1699.154419, 11174.662109, 115.93721, 182.0, 255.0, 161.0
-1699.154419, 11174.662109, 115.93721, 182.0, 255.0, 161.0
-1706.466919, 11168.794922, 109.491898, 182.0, 255.0, 161.0
-1738.740356, 11236.740234, 137.43013, 182.0, 255.0, 161.0
-1712.420044, 11096.482422, 124.471146, 182.0, 255.0, 161.0
