X,Y,Z,R,G,B
-867.28656, 3334.386475, -10.034429, 63, 141, 255
-870.030273, 3406.646484, -29.841192, 63, 141, 255
-858.306824, 3399.889404, -3.668242, 63, 141, 255
-848.43573, 3391.248047, 0.083076, 63, 141, 255
-882.080261, 3383.80835, -21.13665, 63, 141, 255
-904.129517, 3380.010498, -19.607037, 63, 141, 255
-859.12561, 3349.033936, -4.551031, 63, 141, 255
-858.695923, 3400.0271, -3.507915, 63, 141, 255
-864.079529, 3340.148926, -8.862017, 63, 141, 255
-848.634216, 3341.037109, 1.936543, 63, 141, 255
-863.635742, 3403.975342, -21.370512, 63, 141, 255
-861.59198, 3378.450439, -11.674224, 63, 141, 255
-888.632629, 3387.309082, -23.283745, 63, 141, 255
-853.925598, 3329.596436, -6.926933, 63, 141, 255
-901.978699, 3387.560547, -28.200666, 63, 141, 255
-861.34906, 3342.621582, -16.606108, 63, 141, 255
-877.509216, 3342.86377, -20.551519, 63, 141, 255
-852.301392, 3341.615234, -1.485161, 63, 141, 255
-884.271667, 3399.858154, -25.00518, 63, 141, 255
-859.680298, 3352.52002, -4.872661, 63, 141, 255
-858.825623, 3372.543457, -1.754912, 63, 141, 255
-864.590454, 3372.706787, -12.53289, 63, 141, 255
-859.852173, 3392.748047, -6.106451, 63, 141, 255
-881.230286, 3375.827881, -19.597759, 63, 141, 255
-873.96698, 3384.726318, -14.875811, 63, 141, 255
-911.066223, 3390.697998, -31.445662, 63, 141, 255
-853.416992, 3372.771484, 3.421186, 63, 141, 255
-866.667786, 3334.688721, -10.935576, 63, 141, 255
-855.891235, 3340.959717, -9.34627, 63, 141, 255
-854.980286, 3386.227783, -4.984649, 63, 141, 255
-859.723267, 3378.077881, -5.098516, 63, 141, 255
-867.616211, 3363.544922, -14.082305, 63, 141, 255
-902.889648, 3359.833252, -11.411773, 63, 141, 255
-906.035767, 3347.908203, -17.46353, 63, 141, 255
-842.977173, 3336.819092, -4.893584, 63, 141, 255
-868.342773, 3328.134033, -13.451762, 63, 141, 255
-858.575623, 3328.822266, -12.53831, 63, 141, 255
-864.206055, 3399.417725, -8.409282, 63, 141, 255
-888.18811, 3379.465332, -21.342852, 63, 141, 255
-851.774048, 3379.922363, 5.753145, 63, 141, 255
-892.195923, 3352.997314, -13.47083, 63, 141, 255
-876.224792, 3328.232422, -18.359819, 63, 141, 255
-861.074036, 3365.070068, -3.570488, 63, 141, 255
-894.088867, 3374.447998, -20.751202, 63, 141, 255
-854.854492, 3359.903564, 7.219551, 63, 141, 255
-858.106079, 3331.622314, -7.999248, 63, 141, 255
-854.031067, 3355.417725, -15.694878, 63, 141, 255
-864.129517, 3340.736328, -9.160064, 63, 141, 255
-867.476379, 3345.670654, -10.918657, 63, 141, 255
-861.226379, 3357.83252, -7.838212, 63, 141, 255
-864.608398, 3351.601318, -9.604204, 63, 141, 255
-861.293579, 3334.905029, -6.26646, 63, 141, 255
-872.40448, 3340.605225, -13.528106, 63, 141, 255
-889.638123, 3341.605225, -16.919462, 63, 141, 255
-870.488892, 3357.437256, -15.006621, 63, 141, 255
-868.650574, 3371.473145, -18.683037, 63, 141, 255
-910.452148, 3353.23877, -18.692486, 63, 141, 255
-873.827148, 3363.262939, -17.706011, 63, 141, 255
-845.259949, 3330.906006, -8.307304, 63, 141, 255
-894.534973, 3330.405029, -25.055571, 63, 141, 255
-903.518555, 3370.363037, -16.08267, 63, 141, 255
-847.045105, 3335.251221, -3.155694, 63, 141, 255
-885.041992, 3365.027832, -15.573003, 63, 141, 255
-851.191223, 3387.430176, 9.421382, 63, 141, 255
-886.488098, 3403.273193, -29.413116, 63, 141, 255
-886.94043, 3394.73877, -27.875397, 63, 141, 255
-893.900574, 3390.473145, -26.835016, 63, 141, 255
-880.980286, 3391.115967, -24.672857, 63, 141, 255
-864.631836, 3391.898193, -11.745293, 63, 141, 255
-885.845154, 3405.697266, -38.047565, 63, 141, 255
-909.488098, 3378.243408, -28.572199, 63, 141, 255
-859.667786, 3391.258301, -25.121269, 63, 141, 255
-871.548279, 3379.513672, -25.826862, 63, 141, 255
-843.21936, 3391.463623, -19.301886, 63, 141, 255
-842.193542, 3377.959717, -0.713896, 63, 141, 255
-869.907654, 3304.013672, -16.488848, 63, 141, 255
-858.663879, 3302.5271, -17.431913, 63, 141, 255
-877.824829, 3314.743408, -21.34268, 63, 141, 255
-860.331055, 3310.085693, -10.940849, 63, 141, 255
-871.173279, 3295.477051, -19.282158, 63, 141, 255
