X,Y,Z,R,G,B
24.344719, 1472.144409, 363.240204, 255, 237, 33
73.457222, 1489.898315, 320.6362, 255, 237, 33
32.356438, 1446.670166, 348.764984, 255, 237, 33
47.412685, 1468.684937, 327.573181, 255, 237, 33
84.36972, 1429.850586, 333.420837, 255, 237, 33
26.512686, 1490.856812, 370.379272, 255, 237, 33
62.396282, 1479.520142, 331.129608, 255, 237, 33
35.572063, 1469.82019, 343.140594, 255, 237, 33
43.309563, 1503.256104, 331.799896, 255, 237, 33
51.282223, 1495.235718, 329.249603, 255, 237, 33
74.873627, 1491.88269, 315.656097, 255, 237, 33
39.685345, 1468.202148, 339.137299, 255, 237, 33
34.601749, 1496.828735, 343.641205, 255, 237, 33
80.544724, 1477.63501, 320.716583, 255, 237, 33
57.037689, 1471.238892, 334.26767, 255, 237, 33
57.106441, 1475.742798, 327.009491, 255, 237, 33
80.666595, 1438.19751, 318.285004, 255, 237, 33
22.743938, 1458.724854, 367.907593, 255, 237, 33
33.183781, 1464.819336, 345.951935, 255, 237, 33
36.214249, 1468.702148, 341.941528, 255, 237, 33
31.60253, 1465.506836, 350.085327, 255, 237, 33
48.136906, 1491.528687, 328.692017, 255, 237, 33
35.782219, 1475.36853, 341.925415, 255, 237, 33
76.828316, 1485.889648, 316.906189, 255, 237, 33
37.305656, 1479.52478, 338.627899, 255, 237, 33
31.29003, 1462.035034, 351.349884, 255, 237, 33
34.415031, 1467.434937, 344.537628, 255, 237, 33
36.240032, 1495.840454, 345.09314, 255, 237, 33
46.240032, 1497.752197, 332.58783, 255, 237, 33
78.410347, 1481.297485, 315.882111, 255, 237, 33
38.555656, 1478.898315, 334.896759, 255, 237, 33
36.174404, 1470.00061, 340.335388, 255, 237, 33
23.154095, 1461.59436, 371.078888, 255, 237, 33
66.983788, 1486.929565, 329.019012, 255, 237, 33
76.20488, 1481.883423, 323.72995, 255, 237, 33
59.848629, 1485.589722, 327.706573, 255, 237, 33
33.791592, 1496.698242, 369.131195, 255, 237, 33
64.600975, 1435.733398, 323.746307, 255, 237, 33
36.212688, 1445.201416, 335.26062, 255, 237, 33
43.311123, 1493.629517, 335.098572, 255, 237, 33
50.949406, 1505.778687, 376.998383, 255, 237, 33
82.880661, 1484.313843, 318.130554, 255, 237, 33
97.979095, 1442.071655, 362.13089, 255, 237, 33
39.622845, 1491.541992, 339.226746, 255, 237, 33
45.343937, 1481.970947, 328.273041, 255, 237, 33
20.992376, 1467.649048, 362.944794, 255, 237, 33
43.629093, 1504.018555, 376.036255, 255, 237, 33
21.393156, 1468.076416, 366.872009, 255, 237, 33
20.66972, 1465.576416, 369.902283, 255, 237, 33
34.125187, 1472.049805, 346.043488, 255, 237, 33
30.775969, 1476.802979, 349.612427, 255, 237, 33
32.526749, 1498.543579, 351.212189, 255, 237, 33
34.122845, 1480.827148, 345.666351, 255, 237, 33
33.104092, 1489.436523, 348.15686, 255, 237, 33
29.554092, 1463.287354, 350.277924, 255, 237, 33
22.377531, 1470.242798, 364.464874, 255, 237, 33
29.442373, 1466.268555, 352.715027, 255, 237, 33
42.198624, 1498.704468, 339.012299, 255, 237, 33
26.64003, 1459.486572, 354.561127, 255, 237, 33
33.741592, 1480.223267, 342.824402, 255, 237, 33
22.591595, 1466.614624, 357.480591, 255, 237, 33
43.962688, 1473.717041, 330.449677, 255, 237, 33
26.268156, 1473.66626, 357.297455, 255, 237, 33
80.553314, 1430.070923, 322.822205, 255, 237, 33
102.069725, 1462.902954, 368.641876, 255, 237, 33
19.396282, 1462.522461, 364.367767, 255, 237, 33
59.975189, 1493.661499, 324.696075, 255, 237, 33
43.197063, 1492.01001, 331.053162, 255, 237, 33
46.492374, 1494.867798, 328.301117, 255, 237, 33
19.586906, 1470.388062, 366.788422, 255, 237, 33
36.930656, 1472.735718, 338.448029, 255, 237, 33
29.759562, 1452.057617, 353.297058, 255, 237, 33
79.622063, 1447.562378, 315.635223, 255, 237, 33
41.697063, 1498.691284, 336.605804, 255, 237, 33
78.722069, 1458.694336, 309.319794, 255, 237, 33
102.406433, 1452.155273, 352.991058, 255, 237, 33
66.810349, 1452.407593, 334.608856, 255, 237, 33
83.225975, 1479.477173, 341.819794, 255, 237, 33
93.097069, 1473.520874, 319.239349, 255, 237, 33
77.947067, 1469.186523, 311.95697, 255, 237, 33
65.206444, 1443.655273, 327.423462, 255, 237, 33
77.328316, 1511.605347, 332.947845, 255, 237, 33
36.300186, 1445.152954, 335.216736, 255, 237, 33
22.137688, 1458.838135, 368.0159, 255, 237, 33
104.996277, 1473.847534, 370.687775, 255, 237, 33
75.150192, 1509.175659, 327.7323, 255, 237, 33
62.949409, 1472.602905, 330.263458, 255, 237, 33
48.680656, 1501.407593, 321.154572, 255, 237, 33
40.096279, 1492.904541, 336.026581, 255, 237, 33
74.849411, 1503.591187, 328.868286, 255, 237, 33
29.042374, 1486.092041, 349.443207, 255, 237, 33
73.447067, 1507.416992, 328.53363, 255, 237, 33
101.863472, 1469.248291, 362.465424, 255, 237, 33
35.018936, 1483.609253, 344.191437, 255, 237, 33
30.997843, 1487.922485, 351.660767, 255, 237, 33
37.479874, 1489.397461, 335.144226, 255, 237, 33
62.408001, 1477.297485, 330.187927, 255, 237, 33
45.45956, 1498.911499, 330.255219, 255, 237, 33
33.170498, 1472.529541, 348.250275, 255, 237, 33
32.383781, 1456.65686, 347.829865, 255, 237, 33
33.243156, 1468.41394, 349.209564, 255, 237, 33
35.17128, 1500.017822, 347.971893, 255, 237, 33
33.336124, 1462.621704, 347.191528, 255, 237, 33
32.295498, 1474.552124, 349.506531, 255, 237, 33
42.283779, 1467.472534, 337.406921, 255, 237, 33
23.850187, 1475.683472, 359.045135, 255, 237, 33
37.650967, 1488.737305, 339.574554, 255, 237, 33
42.056438, 1473.489624, 332.681763, 255, 237, 33
42.588467, 1501.791992, 375.008636, 255, 237, 33
38.083782, 1492.764648, 344.365814, 255, 237, 33
22.608782, 1476.364624, 357.222992, 255, 237, 33
25.444719, 1461.167847, 356.224945, 255, 237, 33
27.098623, 1465.231079, 354.485779, 255, 237, 33
43.907219, 1501.098999, 334.518585, 255, 237, 33
44.975185, 1465.84436, 328.572388, 255, 237, 33
36.174404, 1485.134155, 335.862152, 255, 237, 33
74.271286, 1502.321655, 319.384369, 255, 237, 33
101.3666, 1453.44043, 368.328827, 255, 237, 33
28.278311, 1456.470947, 351.322052, 255, 237, 33
47.88847, 1493.26001, 331.072968, 255, 237, 33
64.003319, 1486.327148, 328.613068, 255, 237, 33
40.306438, 1461.614624, 335.040405, 255, 237, 33
42.282219, 1504.393555, 334.052124, 255, 237, 33
53.276752, 1473.439697, 329.993835, 255, 237, 33
38.900967, 1446.419312, 326.084747, 255, 237, 33
74.123627, 1496.456055, 321.768494, 255, 237, 33
75.418938, 1459.499878, 322.248962, 255, 237, 33
68.493156, 1466.173218, 336.737152, 255, 237, 33
78.27597, 1474.026367, 325.045135, 255, 237, 33
47.112686, 1449.495972, 325.280548, 255, 237, 33
35.410343, 1477.738159, 339.930634, 255, 237, 33
31.975187, 1443.155273, 346.419861, 255, 237, 33
102.958778, 1469.336548, 358.131134, 255, 237, 33
99.829094, 1459.328735, 364.937103, 255, 237, 33
44.42128, 1498.47644, 329.417847, 255, 237, 33
27.981436, 1471.880249, 352.132355, 255, 237, 33
100.144722, 1449.154541, 369.40799, 255, 237, 33
58.037689, 1488.262329, 326.662567, 255, 237, 33
76.847069, 1485.09668, 316.130341, 255, 237, 33
40.080654, 1480.203003, 336.16394, 255, 237, 33
71.737694, 1469.785034, 335.74646, 255, 237, 33
86.605659, 1477.715454, 320.28479, 255, 237, 33
25.930655, 1463.629517, 354.569916, 255, 237, 33
